name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,aerialWon,duelWon,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,keyPass,shotValueNormalized,onTargetScoringAttempt,goals,interceptionWon,expectedGoalsOnTarget,bestBallCarryProgression,totalProgressiveBallCarriesDistance,duelLost,wasFouled,totalCross,accurateCross,aerialLost,dispossessed,totalContest,wonContest,bigChanceCreated,challengeLost,shotOffTarget,totalOffside,hitWoodwork,bigChanceMissed,penaltyWon,savedShotsFromInsideTheBox,penaltyFaced,saves,keeperSaveValue,goalkeeperValueNormalized,outfielderBlock,penaltyConceded,teamName,captain,match_id
Manuel Palacios,manuel-palacios,M. Palacios,M,7,183,116,M,hvdn8c,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",285823,EUR,729561600,"{'value': 190000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل بالاسيوس', 'ru': 'Мануэль Палациос'}, 'shortNameTranslation': {'ar': 'م. بالاسيوس', 'ru': 'М. Палациос'}}",,,196341,7,7,F,False,24.0,18.0,5.0,3.0,0.0,6.0,6.0,12.0,18.0,1.0,1.0,,,,,90.0,39.0,6.3,13.0,0.0466598,119.72531771752,11.0,48.288671488449,3.0,"{'original': 6.3, 'alternative': 6.6}",0,,-0.12,0.26,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,4.0,,1.0,1.0,3.0,3.0,,2.0,,,,1.0,,18.619532293019,58.279649977614,9.0,1.0,2.0,1.0,2.0,1.0,2.0,,,1.0,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Hao Yucheng,hao-yucheng,H. Yucheng,D,34,180,2,M,wr87px,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1804301,EUR,1098576000,"{'value': 77000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاو يوتشنغ', 'ru': 'Хао Юйчэн'}, 'shortNameTranslation': {'ar': 'ه. يوتشنغ', 'ru': 'Х. Юйчэн'}}",Hao,Yucheng,196341,34,34,D,True,13.0,6.0,1.0,,0.0,4.0,6.0,2.0,7.0,,,,,,,45.0,23.0,6.3,9.0,0.00046066,31.797495906112,5.0,7.6126724786548,1.0,"{'original': 6.3, 'alternative': 6.4}",2,,-0.09,0.23,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,1.0,,0.1447,,-0.52,,,1.0,,5.0219295764383,8.4474806303418,1.0,,,,1.0,,,,,,2.0,,,,,,,,,,1.0,,Jiangxi Dingnan United,,15657889
Su Gao,su-gao,S. Gao,M,22,176,1,M,hevgxz,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2115612,EUR,1110844800,"{'value': 27000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سو قاو', 'ru': 'Су Гао'}, 'shortNameTranslation': {'ar': 'س. قاو', 'ru': 'С. Гао'}}",Su Gao,,196341,22,22,M,True,28.0,22.0,6.0,3.0,0.0,11.0,11.0,11.0,17.0,,1.0,,,,,45.0,34.0,6.2,10.0,0.00757569,72.096619652362,7.0,16.652099517736,0.0,"{'original': 6.2, 'alternative': 6.7}",0,,-0.11,0.09,-0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",,2.0,,1.0,1.0,,4.0,,1.0,,,,,,,,5.0,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Fan Bojian,bojian-fan,F. Bojian,M,18,182,3,M,q4929a,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",987012,EUR,859248000,"{'value': 71000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجيان، فان', 'ru': 'Фан Бодзян'}, 'shortNameTranslation': {'ar': 'ف. بوجيان', 'ru': 'Ф. Бодзян'}}",,,196341,18,18,M,True,13.0,11.0,2.0,2.0,0.0,2.0,2.0,9.0,11.0,2.0,,,,,,45.0,17.0,6.6,3.0,0.0422365,14.410230254927,1.0,9.3481562136801,0.0,"{'original': 6.6, 'alternative': 6.6}",0,,0.14,0.03,-0.07,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Yetong Cheng,yetong-chang,Y. Cheng,D,28,175,1,M,tdkab4,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1528090,EUR,951696000,"{'value': 77000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يتونغ تشينغ', 'ru': 'Етонг Ченг'}, 'shortNameTranslation': {'ar': 'ي. تشينغ', 'ru': 'Е. Ченг'}}",,,196341,28,28,D,True,13.0,13.0,1.0,1.0,0.0,4.0,4.0,9.0,9.0,,1.0,,,,,30.0,18.0,6.3,3.0,0.00285053,47.014445231163,4.0,16.84729426634,1.0,"{'original': 6.3, 'alternative': 6.4}",0,,-0.03,0.04,-0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,22.99294540597,29.533274268188,,,2.0,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Mingxin Zhu,mingxin-zhu,M. Zhu,D,3,185,2,M,b4p3i8,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1867577,EUR,921542400,"{'value': 68000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مينغشين زو', 'ru': 'Минсинь Чжу'}, 'shortNameTranslation': {'ar': 'م. زو', 'ru': 'М. Чжу'}}",Mingxin Zhu,,196341,3,3,D,True,14.0,11.0,5.0,3.0,0.0,6.0,6.0,5.0,8.0,,2.0,,,,,24.0,14.0,6.2,3.0,0.00698024,,,,,"{'original': 6.2, 'alternative': 6.3}",0,,0.12,,-0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Jia Du,jia-du,J. Du,G,1,185,8,M,ha77pc,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",797404,EUR,736214400,"{'value': 45000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيا دو', 'ru': 'Цзя Ду'}, 'shortNameTranslation': {'ar': 'ج. دو', 'ru': 'Ц. Ду'}}",,,196341,1,1,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Bowen Yang,bowen-yang,Y. Bowen,D,45,180,3,M,ek75bj,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1501580,EUR,1139097600,"{'value': 23000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوين يانغ', 'ru': 'Боувен Ян'}, 'shortNameTranslation': {'ar': 'ب. يانغ', 'ru': 'Б. Ян'}}",,,196341,45,45,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Jiahao Yan,jiahao-yan,J. Yan,D,33,175,0,M,kvxawf,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2074749,EUR,1074470400,"{'value': 24000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جياهاو يان', 'ru': 'Цзяхао Ян'}, 'shortNameTranslation': {'ar': 'ج. يان', 'ru': 'Ц. Ян'}}",Jiahao,Yan,196341,33,33,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
Yuchen Han,yuchen-han,Y. Han,F,19,155,1,M,gw8bxt,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1894516,EUR,1190678400,"{'value': 45000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوتشين هان', 'ru': 'Юйчэнь Хань'}, 'shortNameTranslation': {'ar': 'ي. هان', 'ru': 'Ю. Хань'}}",Yuchen,Han,196341,19,19,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657889
